"Education, culture, recreation","Welfare, subsidies",Public security,Taxes and trade,"Agriculture, environment, road transportation",name,year
0.37979406730041343,0.5056894088653385,0.04408871127557999,0.0060540153174114,0.06437379724125673,Affoltern am Albis,2008
0.6288462586140273,0.20949556820212537,0.042456948515837985,0.011821202746449879,0.1073800219215595,Bonstetten,2008
0.5433292321132065,0.2874298703093398,0.045907523244860055,0.016095526676586373,0.1072378476560073,Obfelden,2008
0.6923938253177675,0.17229938635637865,0.04333526234185838,0.004068774042442868,0.08790275194155264,Bassersdorf,2008
0.4365670934538888,0.390816738009105,0.04548687680916669,0.0036333567135279805,0.12349593501431154,Bülach,2008
0.4587113886106379,0.3803905890396444,0.03198872325761662,0.00541334614836677,0.12349595294373424,Embrach,2008
0.5922750439534762,0.21290334620521098,0.039320461004547495,0.021291721251809045,0.13420942758495638,Glattfelden,2008
0.5547348828133408,0.2988378254310358,0.04243053356951208,0.00840571962246991,0.09559103856364144,Kloten,2008
0.3966698553893524,0.49487860499307323,0.030318603283616442,0.0069882034257400544,0.07114473290821789,Opfikon,2008
0.4840486582099288,0.37897820676058375,0.03793007236571488,0.007556904898537761,0.0914861577652348,Wallisellen,2008
0.6189807735489622,0.2326996819457271,0.03233064281099602,0.009551822698329644,0.10643707899598498,Niederglatt,2008
0.3727352144100022,0.4937373108359516,0.02936267572062734,0.010844281152499042,0.09332051788091979,Oberglatt,2008
0.5340897422653018,0.33961755742042987,0.03216854910291289,0.006618693855907646,0.0875054573554477,Regensdorf,2008
0.5464205762332951,0.31488788498041864,0.032343148492052776,0.0027368971546885626,0.1036114931395447,Rüti (ZH),2008
0.5548647526714474,0.32842963954260984,0.03520395929615739,0.0041877343476799354,0.07731391414210544,Wetzikon (ZH),2008
0.47281706618735614,0.37966353783206014,0.041296562112222046,0.007593191609350728,0.09862964225901084,Adliswil,2008
0.4496669267900073,0.40623702656345595,0.03269900428085743,0.013442717054101841,0.09795432531157727,Horgen,2008
0.5756701723908287,0.2760278570720285,0.03890843462450231,0.00447626442619446,0.10491727148644604,Richterswil,2008
0.49717208395086465,0.3578315940319269,0.041271239181132055,0.0036302916112856236,0.10009479122479076,Thalwil,2008
0.4829023439075054,0.3531699920802179,0.045592543775247706,0.0033517573104528777,0.11498336292657621,Wädenswil,2008
0.22704329300081602,0.6972586315223219,0.023572972056954376,0.0027126701511118465,0.04941243326879579,Küsnacht (ZH),2008
0.5982558316970848,0.26413490347547375,0.04368773800352014,0.0063689903963387185,0.08755253642758247,Männedorf,2008
0.3794430124720298,0.47223389400419985,0.05217507386875831,0.013679628247517974,0.08246839140749405,Meilen,2008
0.4264905358306298,0.46157324828089225,0.030013720248894052,0.006942983058645975,0.07497951258093803,Stäfa,2008
0.6063347980065548,0.24192474001118996,0.046529852364672324,0.006559278065930638,0.09865133155165258,Uetikon am See,2008
0.30248628627721197,0.6239777189848998,0.016953633278445908,0.0015512789931057026,0.055031082466336485,Zollikon,2008
0.6442742357578224,0.1570080169133642,0.07687385124678993,0.001661818226944872,0.12018207785507855,Fehraltorf,2008
0.5580255912705968,0.2692691640358742,0.041996497875517645,0.006454157351673875,0.1242545894663375,Illnau-Effretikon,2008
0.5870578132038389,0.2603045201158047,0.036794534513431856,0.0037881660484364674,0.11205496611848803,Pfäffikon,2008
0.5756132602162461,0.2611873814620085,0.043320168597612896,0.014480790640370082,0.10539839908376256,Dübendorf,2008
0.5610510231296832,0.25315455982296897,0.05601894552013024,0.006905792674370371,0.12286967885284719,Uster,2008
0.6388158215035848,0.21839687827624463,0.050087577618817304,0.005544359820390224,0.08715536278096302,Volketswil,2008
0.39688913148807975,0.35641903888069404,0.09078719477804252,0.007001579804237961,0.14890305504894555,Winterthur,2008
0.39254325412010127,0.4990835396248962,0.031849813567303153,0.0023271634276852736,0.07419622926001414,Dietikon,2008
0.4600877263974145,0.3902545495197834,0.04514470767868718,0.011018288935617111,0.09349472746849785,Schlieren,2008
0.3044572430563112,0.596673719873851,0.02899100915882315,0.005681921624304349,0.06419610628671014,Uitikon,2008
0.404113491222472,0.32950108320669447,0.130285097907129,0.006313495202015159,0.12978683246168948,Zürich,2008
0.36672309985524326,0.4929189636133518,0.03430212467714169,0.00949254340669379,0.0965632684475695,Lyss,2008
0.3294528294163206,0.5174945224285215,0.054936049808029644,0.008794034796994173,0.08932256355013417,Langenthal,2008
0.31798535126531474,0.4227595917615923,0.06925721598343328,0.011936288889855819,0.17806155209980387,Bern,2008
0.40076615037755986,0.4279030746957893,0.032793386418380976,0.0008092269131951534,0.1377281615950747,Bolligen,2008
0.3570968966069883,0.47185489406345194,0.03049115121815785,0.007928774571244877,0.13262828354015702,Köniz,2008
0.26768351872881285,0.5932318991000992,0.023541462108891586,0.004642420115862346,0.11090069994633411,Muri bei Bern,2008
0.34050111433558233,0.4890702522487515,0.028238161955995583,0.0037695211872051247,0.13842095027246554,Wohlen bei Bern,2008
0.27582787943967835,0.5713046440033311,0.03836659771608229,0.006132872535231236,0.10836800630567686,Ittigen,2008
0.2780217005908992,0.5453823414044622,0.05961740859400277,0.011191963426660893,0.10578658598397499,Ostermundigen,2008
0.3455504015302732,0.4468001981921779,0.06042269837291403,0.012873320173417404,0.13435338173121758,Biel/Bienne,2008
0.4101198353449155,0.4046484909128683,0.04613377083288872,0.0173852372381592,0.12171266567116834,Burgdorf,2008
0.36252496532894174,0.44299563937230596,0.02902345314447393,0.012453107865640975,0.15300283428863748,Frutigen,2008
