,foreigns,EU,length of residence 0-10 years,name,year,Permanent resident population
0,0.179558749960632,0.167844649046423,0.4222110128260753,Aadorf,2012,6155.719538312163
1,0.2209706201215073,0.1725278954858512,0.4916161673445098,Aarau,2012,16536.28673211201
2,0.4387235464846997,0.3864085943418677,0.4538347195097867,Aarburg,2012,5065.333347606872
3,0.119635867925037,0.100815314815823,0.4077106340325053,Adligenswil,2012,4494.893313854799
4,0.3338772592225497,0.2716911654443504,0.4783337277106552,Adliswil,2012,15212.529935776212
5,0.252439582060866,0.2070077859535114,0.4216865275111318,Aesch (BL),2012,8243.418030152403
6,0.2843805095044577,0.2422149853827287,0.4485811165925036,Affoltern am Albis,2012,9859.019327252823
7,0.4269440667815667,0.3729627247328681,0.4534814771155292,Aigle,2012,8060.58001373325
8,0.2403982067532028,0.189632060886964,0.4114268698044154,Allschwil,2012,17291.093539219815
9,0.1741795552925645,0.1534009957780049,0.3468123802607731,Alpnach,2012,4645.324848617818
10,0.1608801902153249,0.1377645146140063,0.3400098669564159,Altdorf (UR),2012,6685.265181661462
11,0.2313436193372202,0.1952291416246183,0.5074900231721151,Altendorf,2012,5525.693496975767
12,0.2925228465433414,0.268442666003511,0.3483438140586299,Altstätten,2012,7912.488701938291
13,0.3295578200542298,0.304484517440353,0.4048383168620226,Amriswil,2012,10372.837792296245
14,0.1996956548113312,0.1759267622821047,0.2716675547473848,Appenzell,2012,4450.048792317697
15,0.3354526768378619,0.3172129061182221,0.4479328058392903,Arbedo-Castione,2012,3350.509339052177
16,0.3198101684876341,0.2849218286537714,0.3953497203344733,Arbon,2012,10983.5562474408
17,0.2169717544943679,0.182569476434669,0.4370323116727336,Arlesheim,2012,7620.44255918431
18,0.285377334222356,0.2530652403370433,0.3458155133651963,Arth,2012,9233.839936349314
19,0.3086254813160555,0.285648467704632,0.4623004389305657,Ascona,2012,4493.548980281849
20,0.3993150843018961,0.3672463700690367,0.4501061188053606,Au (SG),2012,5789.015783335638
21,0.2817412420201999,0.2423064905538401,0.4133898149408162,Baar,2012,20136.033885732617
22,0.3286680086691058,0.2936446336969607,0.416669060184769,Bad Ragaz,2012,4560.293699504673
23,0.2712904076734829,0.2198673691630374,0.517565352970245,Baden,2012,16007.331292550938
24,0.3204159115676897,0.288986640520667,0.3961439432543645,Bagnes,2012,5886.2082718144175
25,0.2520734733575753,0.2290651583108371,0.4330454796531326,Balgach,2012,3226.1957310136672
26,0.3421771642353524,0.2997049636254945,0.3574673941366689,Balsthal,2012,4111.69342137573
27,0.3579142618129892,0.2966576569695871,0.3525727860378803,Basel,2012,160208.53077113442
28,0.2450472503040986,0.2035543205096989,0.5226867087487097,Bassersdorf,2012,9102.47604303489
29,0.189054941616672,0.1779304104417872,0.4068785030110806,Bauma,2012,3187.713761048767
30,0.2983156257758895,0.2621007854106762,0.3526253034643269,Bellach,2012,4153.509558207721
31,0.3229958365976322,0.2899909203772814,0.3828936739603802,Bellinzona,2012,14619.47462516468
32,0.2542092221931853,0.2333567593942104,0.4679033991186697,Belmont-Broye,2012,2826.9825210209706
33,0.1402465772175856,0.1084385911882305,0.4211928330598487,Belp,2012,8598.024646436137
34,0.1658647167245667,0.1448292704041068,0.4575682937032224,Berikon,2012,3771.609452931696
35,0.2486816798443792,0.1853031959837886,0.4446298148291163,Bern,2012,119648.06895420044
36,0.22120570388976,0.1761664070833256,0.465216503282398,Bernex,2012,7641.699382558369
37,0.1274059483691839,0.1165461471053639,0.3316515205064476,Beromünster,2012,4758.94032181251
38,0.1815082930755207,0.1510286326879013,0.3735271455073435,Bettlach,2012,3573.115383895613
39,0.3281180878622914,0.2820369803969616,0.4516862848768181,Bex,2012,4049.816913895057
40,0.38674479031284,0.3614286084530504,0.3090636777037358,Biasca,2012,4664.117423789954
41,0.2429723311698848,0.2119271295461716,0.422505071714733,Biberist,2012,5792.352436691588
42,0.30424600688248,0.2232755174951706,0.3956425899397254,Biel/Bienne,2012,45970.632134272106
43,0.2376957368158682,0.180138212175541,0.443857487408015,Binningen,2012,12869.303873654935
44,0.2385703651972836,0.2000894822752407,0.4407813761511712,Birmensdorf (ZH),2012,5091.986859150351
