,Financials - Number of employees,Financials - Number of workplaces,Number of workplaces,Materials - Number of employees,Materials - Number of workplaces,Consumer Staples - Number of employees,Consumer Staples - Number of workplaces,Communication Services - Number of employees,Communication Services - Number of workplaces,Industrials - Number of employees,Industrials - Number of workplaces,Consumer Discretionary - Number of employees,Consumer Discretionary - Number of workplaces,Energy - Number of employees,Energy - Number of workplaces,Utilities - Number of employees,Utilities - Number of workplaces,Real Estate - Number of employees,Real Estate - Number of workplaces,Information Technology - Number of employees,Information Technology - Number of workplaces,Health Care - Number of employees,Health Care - Number of workplaces,Number of employees,Number of workplaces with <50 employees,Number of workplaces with ≥50 and <250 employees,Number of workplaces with ≥250 employees,name,year
0,0.026507507651437688,0.025839508079667513,2012.4222117416218,0.3952732001852065,0.3669082812510658,0.16200612165371792,0.23713454174510942,0.018731503473750737,0.037356487972007066,0.15031150251365896,0.06176489226090992,0.08403590243067428,0.13489418555396557,0.006855389909854574,0.009938272338333658,0.0009140519879806099,0.0019876544676667315,0.0411979293380953,0.02796979121362291,0.039532748480161375,0.0318024714826677,0.07463414237546212,0.0644039136349837,4376.118702872788,0.8895375624908533,0.017893865305953164,0.0019876544676667315,Aadorf,2012
1,0.08325442854102434,0.04944897363616645,6872.55059748717,0.3589579032934921,0.39342642430955377,0.10150356660762623,0.14669171681843804,0.04510800995140378,0.05452785491933957,0.01222312174030985,0.017737214059686056,0.13722379169064733,0.12303423405027814,0.009457351956559073,0.0034921532638515877,0.00020000442204203477,0.0005820255439752646,0.02516820553176171,0.04494222531504158,0.03715906496307213,0.03953954042293467,0.18974455130206166,0.12657763766073457,34999.226159753685,0.9310904530369248,0.05596237872754829,0.0069843065277031754,Aarau,2012
2,0.011726622014677232,0.02290894982867205,1283.1447822040673,0.27726027818355375,0.37137077954935027,0.2963610059912031,0.23869510798562682,0.008662468166549428,0.020138178324924785,0.1553634605133031,0.04077501414596858,0.14185315073025684,0.18758010120704907,0.0029029526005859073,0.0031173411258620175,0.0010104092140532327,0.0027125746010134076,0.05821400331806416,0.03813245039681404,0.014759648680984644,0.02169947996781235,0.03188600058676862,0.05287002286690659,3444.768611785699,0.9483704366915393,0.03417413259771552,0.0020107660106572275,Aarburg,2012
3,0.01682890115265932,0.009478500750989235,1266.0230046136364,0.45077688434655816,0.41795250932389866,0.1502934472594243,0.1781202238488117,0.13393269020447615,0.04147297791786723,0.0421338437086445,0.041177572205903054,0.07725135356388817,0.11157327010542382,0.0,0.0,0.004674694764627589,0.0063190005006594895,0.034125271781781395,0.05371150425560566,0.02430841277606346,0.041073503254286686,0.0656745004418769,0.09912093783655439,2139.1771021431928,0.924173104896844,0.0063190005006594895,0.0,Adligenswil,2012
4,0.34017331052555866,0.034387290405358255,3240.7844830102676,0.2719368725427405,0.4448311399959954,0.13403878707385852,0.1456031703947924,0.013535774744960103,0.03630496674877798,0.016412520747237303,0.02962240742503054,0.07765133993357429,0.12934254712089108,0.0008416686028743706,0.002468538109195413,0.005681263069402001,0.002468538109195413,0.03616764326431649,0.030389231578394044,0.032885120917535135,0.04954686994305645,0.07067569857794266,0.0950353001693133,9504.928629485896,0.9737540629134138,0.014806117103852656,0.006502743764343131,Adliswil,2012
5,0.02658058503408854,0.029604813623071248,2011.574593018102,0.2735064928842868,0.4150947199219138,0.1284495961131443,0.17195830805635431,0.013640028481914913,0.03386643035764933,0.21277342484971828,0.06596260959684737,0.10606730251906835,0.12779468138600297,0.0,0.0,0.008135909201719662,0.001988492007148752,0.03998916878208305,0.027347625249191657,0.033153418182726796,0.04445356302138848,0.15770407395124927,0.08192875678043166,5776.858963724147,0.9395047407841609,0.02872666164265924,0.003976984014297504,Aesch (BL),2012
6,0.028729777238080317,0.026475425312917255,2719.503054210483,0.32084474666084095,0.3819974746770374,0.1805712895537557,0.18014013683829122,0.01978836697520838,0.03382971012206094,0.0876551366753675,0.041183994931204615,0.11014564908686854,0.14736813852349612,0.0005863219844506187,0.0014708569618287364,0.007622185797858044,0.008825141770972418,0.024772103843038643,0.019121140503773573,0.024478942850813333,0.03677142404571841,0.19480547933371808,0.12281655631269948,6822.190035647364,0.9389992770698364,0.023533711389259783,0.0014708569618287364,Affoltern am Albis,2012
7,0.02226216965155169,0.023166357115619412,2244.634309161199,0.33955881819816586,0.37264055246882066,0.23787828830469218,0.2597305038155022,0.011053245071749441,0.019602302174754886,0.09403042286389665,0.03920460434950977,0.0951688880620846,0.13106479701579413,0.013699796708647195,0.005346082411296787,0.0018681540966337083,0.005346082411296787,0.03720740242462136,0.02806693265930813,0.009185090975115733,0.019602302174754886,0.1380877236428416,0.09622948340334217,6423.452980470517,0.8895142968331996,0.023166357115619412,0.003564054940864525,Aigle,2012
8,0.012825060521331423,0.028848813393410954,3691.4820078140506,0.32716519027697677,0.42368652897911013,0.19128533162534656,0.1775861725431947,0.018130395958960696,0.040245677218925385,0.05560934868550418,0.02977997587572649,0.06944651423541176,0.10522296023895938,0.0,0.0,0.006286769669153546,0.004150294422670268,0.04205095523348542,0.03612360231246036,0.19245750208818602,0.06064183242709196,0.08474293170564376,0.09371414258845022,11344.576140328194,0.9473581897182605,0.0290617283836122,0.006501453873863481,Allschwil,2012
9,0.02104366573907528,0.027534264499985545,1743.2824472222674,0.3563678467080497,0.3051921087262895,0.23424882055151455,0.3296900680423534,0.019936104384387105,0.018356176333323697,0.13401492391726888,0.0665411392082984,0.10881790309811296,0.12160966820826949,0.0011075613546881727,0.002294522041665462,0.012183174901569898,0.01147261020832731,0.02990415657658066,0.027534264499985545,0.058700751798473144,0.05506852899997109,0.023675090970279703,0.03470664923153063,3611.5380724223414,0.7962264137744911,0.02065069837498916,0.0,Alpnach,2012
