name,year,100k,1M,200k,500k,50k,>1M
Wiesendangen,2018,4.255846775793651,30.350144010416667,10.286989260912698,20.058706076388887,0.9467466931216931,32.8414115625
Wiesendangen,2019,4.258315029761905,30.350002760416665,10.288170808531746,20.05835190972222,0.9467466931216931,32.8414115625
Wiesendangen,2020,4.2394,30.294855260416668,10.24998759920635,20.005147135416667,0.9436040013227514,32.7871115625
Wiesendangen,2021,4.237314880952381,30.285069791666665,10.246664682539683,19.996487413194444,0.9436040013227514,32.778061875
Wiesendangen,2022,4.217100264550265,30.178741163194445,10.204154414682538,19.926756597222223,0.9397864169973544,32.66041621875
Wiesendangen,2023,4.164273974867725,30.10424324652778,10.04071341765873,19.76934053819445,0.9301066881613756,32.603515781249996
Wiesendangen,2024,3.9202932374338624,29.90941824652778,9.694301413690477,19.39352265625,0.8547863343253966,32.48352709375
Wil (SG),2010,5.819828885582011,26.983926597222222,13.175023809523811,21.90149314236111,0.981941261574074,27.52943117708333
Wil (SG),2011,5.630929976851852,26.871227152777777,12.668290798611112,21.464211284722225,0.96673011739418,27.498023822916668
Wil (SG),2012,5.87041789021164,27.62814428819444,13.109834126984126,22.09733967013889,1.011765914351852,28.274158927083334
Wil (SG),2013,6.111249966931217,28.391604253472224,13.588155952380953,22.76675060763889,1.054430266203704,29.05033661458333
Wil (SG),2014,6.231728306878308,28.657710312499997,13.827358110119047,23.08676484375,1.0757979910714286,29.2783536875
Wil (SG),2015,6.231728306878308,28.6575728125,13.827454538690475,23.08676484375,1.0757979910714286,29.2783536875
Wil (SG),2016,6.2320894179894175,28.658935729166664,13.817861359126983,23.06886875,1.0778697503306878,29.28622440625
Wil (SG),2017,6.2320894179894175,28.658935729166664,13.817861359126983,23.06886875,1.0778697503306878,29.28622440625
Wil (SG),2018,6.015315988756614,27.97448560763889,13.387479241071429,22.467153906249997,1.0393278356481481,28.591276125
Wil (SG),2019,5.907046246693122,27.816404097222225,13.236155902777778,22.30397361111111,1.0274265046296296,28.436709375
Wil (SG),2020,5.6359526124338615,27.750533697916666,13.015058382936509,22.162540190972223,0.9006014384920635,28.3893410625
Wil (SG),2021,5.6299605489418,27.74203871527778,13.008061929563492,22.153812934027776,0.9006014384920635,28.381514635416668
Wil (SG),2022,5.516626455026455,27.36304715277778,12.77471314484127,21.822903993055554,0.8819377066798941,27.99618775
Wil (SG),2023,5.3950499503968254,27.099341319444445,12.463217162698413,21.470297656250004,0.8619595734126982,27.76256525
Wil (SG),2024,5.013415906084656,26.844163142361108,11.944123065476191,21.022915017361107,0.7558462301587301,27.529798531249998
Willisau,2010,7.078245122354497,29.409208906249997,14.509321775793651,23.550537586805557,1.276474743716931,30.010987854166665
Willisau,2011,6.185089021164021,27.997985868055558,12.690517485119047,21.504407725694442,1.1190965608465608,28.9487785
Willisau,2012,6.182836425264551,27.99141708333333,12.653540203373016,21.46815685763889,1.1201482721560847,28.9487359375
Willisau,2013,6.182836425264551,27.99141708333333,12.653540203373016,21.46815685763889,1.1201482721560847,28.9487359375
Willisau,2014,6.5028818287037025,28.864136215277775,13.23482214781746,22.26951640625,1.1705330274470898,29.810689812499998
Willisau,2015,6.5028818287037025,28.86399454861111,13.234915004960317,22.26951640625,1.1705330274470898,29.810689812499998
Willisau,2016,6.503437384259259,28.865337152777776,13.22400168650794,22.25215173611111,1.1722195353835978,29.818703645833335
Willisau,2017,6.503437384259259,28.865337152777776,13.22400168650794,22.25215173611111,1.1722195353835978,29.818703645833335
Willisau,2018,6.657458118386243,28.87798859375,13.328829662698414,22.30920130208333,1.1814374173280422,29.818983239583332
Willisau,2019,6.496957208994709,28.383864027777776,13.03698675595238,21.899960677083335,1.155768394510582,29.309153958333333
Willisau,2020,6.470336061507936,28.334069131944446,12.994301140873016,21.84774809027778,1.1516624917328044,29.260754583333334
